# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: scall.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   0000b000   ---        --------
               6   N   0000b000   0000e101   0000b004   x10_a0     00000000
               7   N   0000b004   00004e01   0000b006   ---        --------
               8   N   0000b006   ffff5297   0000b008   x28_t3     00000000
               9   N   0000b008   7f828293   0000b00c   x05_t0     00000008
              10   N   0000b00c   30529073   0000b010   x05_t0     00000800
              11   N   0000b010   00004505   0000b014   ---        --------
              12   N   0000b014   0000057e   0000b016   x10_a0     00000001
              13   N   0000b016   00054863   0000b018   x10_a0     80000000
              14   N   0000b018   0ff0000f   0000b028   ---        --------
              17   N   0000b028   00028f63   0000b02c   x05_t0     00000000
              18   N   0000b02c   10529073   0000b04a   ---        --------
              22   N   0000b04a   00006509   0000b04e   ---        --------
              23   N   0000b04e   00006509   0000b04e   ---        --------
              24   N   0000b04e   80050513   0000b050   x10_a0     00002000
              25   N   0000b050   30052073   0000b054   x10_a0     00001800
              26   N   0000b054   00000297   0000b058   ---        --------
              27   N   0000b058   00000297   0000b058   ---        --------
              28   N   0000b058   63c28293   0000b05c   x05_t0     0000b058
              29   N   0000b05c   34129073   0000b060   x05_t0     0000b694
              30   N   0000b060   f1402573   0000b064   ---        --------
              31   N   0000b064   30200073   0000b068   x10_a0     00000000
              33   N   0000b068   00000000   0000b694   ---        --------
              36   N   0000b694   00004321   0000b696   x28_t3     00000002
              37   N   0000b696   00006289   0000b698   x06_t1     00000008
              38   N   0000b698   80028293   0000b69a   x05_t0     00002000
              39   N   0000b69a   6289b073   0000b69e   x05_t0     00001800
              41   N   0000b69e   800223f3   0000b6a2   ---        --------
              42   N   0000b6a2   300023f3   0000b6a2   ---        --------
              43   N   0000b6a2   3002f2b3   0000b6a6   x07_t2     00001880
              45   N   0000b6a6   30008363   0000b6aa   x05_t0     00001800
              47   N   0000b6aa   0000432d   0000b6ae   ---        --------
              48   N   0000b6ae   00006289   0000b6b0   x06_t1     0000000b
              49   N   0000b6b0   80028293   0000b6b2   x05_t0     00002000
              50   N   0000b6b2   6289b073   0000b6b6   x05_t0     00001800
              52   N   0000b6b6   80020297   0000b6ba   ---        --------
              53   N   0000b6ba   00000297   0000b6ba   ---        --------
              54   N   0000b6ba   30028293   0000b6be   x05_t0     0000b6ba
              56   N   0000b6be   00009073   0000b6c2   x05_t0     0000b6ca
              58   N   0000b6c2   01020073   0000b6c6   ---        --------
              61   N   0000b6c6   00004e05   0000b6ca   ---        --------
              64   N   0000b6ca   00000073   0000b6cc   x28_t3     00000001
              65   E   0000b6cc   0000a019   00000800   mstatus    00001880
              65   E   0000b6cc   0000a019   00000800   mepc       0000b6cc
              65   E   0000b6cc   0000a019   00000800   mcause     0000000b
              65   E   0000b6cc   0000a019   00000800   mtval      00000000
              68   N   00000800   0000b897   00000804   x16_a6     f0000000
              69   N   00000804   e7c88893   00000808   x17_a7     0000b804
              70   N   00000808   00088783   0000080c   x17_a7     0000b680
              72   N   0000080c   0000c791   00000810   x15_a5     00000065
              73   N   00000810   00f82023   00000812   ---        --------
              75   N   00000812   00000885   00000816   ---        --------
              76   N   00000816   ff5ff06f   00000818   x17_a7     0000b681
              77   N   00000818   34202773   0000080c   ---        --------
              81   N   0000080c   0000c791   00000810   x15_a5     0000006e
              82   N   00000810   00f82023   00000812   ---        --------
              84   N   00000812   00000885   00000816   ---        --------
              85   N   00000816   ff5ff06f   00000818   x17_a7     0000b682
              86   N   00000818   34202773   0000080c   ---        --------
